cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,desikan_killiany,harvard_oxford
   11,  -21,  -65,   34,   69,  156,42.31% Occipital_Sup_L; 39.74% Precuneus_L; 15.38% Occipital_Mid_L,66.67% Left-Cerebral-White-Matter; 21.79% Unknown; 8.97% ctx-lh-superiorparietal,77.56% Left_Lateral_Occipital_Cortex_superior_division; 22.44% Left_Precuneous_Cortex
   12,  -34,   48,    7,   27,   80,100.00% Frontal_Mid_2_L,67.50% Left-Cerebral-White-Matter; 26.25% ctx-lh-rostralmiddlefrontal,100.00% Left_Frontal_Pole
   13,  -19,  -74,   11,   16,   72,88.89% Calcarine_L; 11.11% no_label,91.67% Left-Cerebral-White-Matter; 8.33% ctx-lh-pericalcarine,83.33% Left_Intracalcarine_Cortex; 16.67% Left_Lateral_Ventrical
   14,   34,   49,    7,   27,   72,80.56% Frontal_Mid_2_R; 19.44% Frontal_Sup_2_R,88.89% Right-Cerebral-White-Matter; 11.11% ctx-rh-rostralmiddlefrontal,100.00% Right_Frontal_Pole
   15,   -3,  -11,   -9,   24,   64,100.00% no_label,98.44% Left-VentralDC,82.81% no_label; 17.19% Left_Thalamus
   16,    2,  -11,   -9,   24,   56,100.00% no_label,98.21% Right-VentralDC,92.86% no_label; 7.14% Right_Thalamus
   17,   -4,   -3,  -10,   19,   52,100.00% no_label,76.92% Left-VentralDC; 19.23% Unknown,78.85% no_label; 21.15% Left_Thalamus
   18,   34,  -33,   -1,   23,   41,85.37% no_label; 14.63% Hippocampus_R,100.00% Right-Cerebral-White-Matter,75.61% no_label; 17.07% Right_Hippocampus; 7.32% Right_Lateral_Ventricle
   19,    3,   -4,   -9,   19,   40,100.00% no_label,100.00% Right-VentralDC,75.00% no_label; 25.00% Right_Thalamus
   20,   15,  -21,   -5,   21,   40,100.00% no_label,75.00% Right-VentralDC; 25.00% Right-Thalamus-Proper,100.00% Right_Thalamus
   21,   25,  -37,   11,   23,   40,100.00% no_label,72.50% Right-choroid-plexus; 27.50% Right-Lateral-Ventricle,100.00% Right_Lateral_Ventricle
   22,  -15,  -21,   -5,   21,   36,100.00% no_label,83.33% Left-VentralDC; 16.67% Left-Thalamus-Proper,100.00% Left_Thalamus
   23,  -25,  -37,   11,   23,   36,100.00% no_label,63.89% Left-choroid-plexus; 19.44% Left-Cerebral-White-Matter; 16.67% Left-Lateral-Ventricle,100.00% Left_Lateral_Ventrical
   24,  -33,  -34,    1,   23,   30,93.33% no_label; 6.67% Hippocampus_L,100.00% Left-Cerebral-White-Matter,100.00% no_label
   25,   -8,   -5,   -5,   19,   28,100.00% no_label,57.14% Left-VentralDC; 42.86% Left-Cerebral-White-Matter,67.86% Left_Thalamus; 25.00% no_label; 7.14% Left_Pallidum
   26,   22,  -25,   -2,   37,   28,50.00% Thalamus_R; 50.00% no_label,57.14% Right-VentralDC; 42.86% Right-Cerebral-White-Matter,85.71% Right_Thalamus; 14.29% no_label
   27,    7,   -5,   -5,   19,   28,100.00% no_label,89.29% Right-VentralDC; 10.71% Right-Cerebral-White-Matter,96.43% Right_Thalamus
   28,  -22,  -25,   -2,   37,   26,76.92% Thalamus_L; 23.08% no_label,61.54% Left-Cerebral-White-Matter; 30.77% Left-VentralDC; 7.69% Left-Thalamus-Proper,80.77% Left_Thalamus; 19.23% no_label
   29,  -12,  -12,   -2,   33,   26,100.00% Thalamus_L,53.85% Left-Cerebral-White-Matter; 38.46% Left-Thalamus-Proper; 7.69% Left-VentralDC,100.00% Left_Thalamus
   30,   35,  -16,   -9,   23,   24,66.67% no_label; 33.33% Putamen_R,100.00% Right-Cerebral-White-Matter,37.50% Right_Putamen; 29.17% Right_Insular_Cortex; 25.00% no_label
   31,   12,  -12,   -2,   33,   20,100.00% Thalamus_R,95.00% Right-Thalamus-Proper; 5.00% Right-Cerebral-White-Matter,100.00% Right_Thalamus
   32,   -7,   -2,  -13,   18,   20,100.00% no_label,85.00% Left-VentralDC; 10.00% Unknown; 5.00% Left-Cerebral-White-Matter,100.00% no_label
   33,    6,   -2,  -13,   18,   20,100.00% no_label,90.00% Right-VentralDC; 10.00% Right-Cerebral-White-Matter,100.00% no_label
   34,   32,  -36,    4,   23,   18,77.78% no_label; 22.22% Hippocampus_R,88.89% Right-Cerebral-White-Matter; 11.11% Right-choroid-plexus,88.89% Right_Lateral_Ventricle; 11.11% no_label
   35,  -35,  -16,   -9,   23,   16,62.50% no_label; 37.50% Putamen_L,81.25% Left-Cerebral-White-Matter; 18.75% Left-Putamen,81.25% Left_Putamen; 12.50% Left_Insular_Cortex; 6.25% no_label
   36,   49,  -24,    7,   49,   16,100.00% Temporal_Sup_R,56.25% ctx-rh-superiortemporal; 25.00% Right-Cerebral-White-Matter; 18.75% ctx-rh-transversetemporal,75.00% Right_Heschl's_Gyrus_(includes_H1_and_H2); 25.00% Right_Planum_Temporale
   37,   23,    1,  -13,   11,   16,100.00% Amygdala_R,50.00% ctx-rh-unknown; 50.00% Unknown,100.00% Right_Amygdala
   38,  -35,  -31,   -2,   23,   16,87.50% no_label; 12.50% Hippocampus_L,100.00% Left-Cerebral-White-Matter,100.00% no_label
   39,  -32,  -36,    4,   23,   15,80.00% no_label; 20.00% Hippocampus_L,100.00% Left-Cerebral-White-Matter,53.33% Left_Lateral_Ventrical; 46.67% no_label
   40,   20,  -36,    4,   28,   15,86.67% Hippocampus_R; 13.33% no_label,73.33% Right-Hippocampus; 13.33% Right-Thalamus-Proper; 13.33% Unknown,93.33% Right_Hippocampus; 6.67% Right_Thalamus
   41,    3,   -1,  -13,   19,   12,100.00% no_label,91.67% Unknown; 8.33% Right-Cerebral-White-Matter,100.00% no_label
   42,  -20,  -36,    4,   28,   12,100.00% Hippocampus_L,100.00% Left-Thalamus-Proper,83.33% Left_Thalamus; 16.67% Left_Hippocampus
   43,   24,  -37,    4,   28,    9,100.00% Hippocampus_R,55.56% Right-Hippocampus; 22.22% Right-Thalamus-Proper; 22.22% Right-Cerebral-White-Matter,100.00% Right_Hippocampus
   44,  -23,  -37,    4,   28,    9,100.00% Hippocampus_L,88.89% Left-Cerebral-White-Matter; 11.11% Left-choroid-plexus,88.89% Left_Hippocampus; 11.11% Left_Lateral_Ventrical
   45,   64,    3,   33,   51,    9,77.78% no_label; 22.22% Postcentral_R,100.00% Unknown,77.78% Right_Precentral_Gyrus; 22.22% no_label
   46,   33,  -39,    4,   23,    6,100.00% no_label,100.00% Right-Cerebral-White-Matter,100.00% Right_Lateral_Ventricle
   47,  -32,  -39,    4,   23,    6,100.00% no_label,100.00% Left-Cerebral-White-Matter,100.00% Left_Lateral_Ventrical
   48,  -24,   17,  -32,    2,    5,100.00% Temporal_Pole_Sup_L,60.00% Unknown; 40.00% ctx-lh-temporalpole,80.00% Left_Temporal_Pole; 20.00% Left_Frontal_Orbital_Cortex
   49,   63,  -64,   16,   17,    5,100.00% no_label,100.00% Unknown,60.00% Right_Lateral_Occipital_Cortex_superior_division; 20.00% Right_Angular_Gyrus; 20.00% no_label
   50,   65,  -56,   24,   55,    5,100.00% no_label,100.00% Unknown,100.00% Right_Angular_Gyrus
   51,   60,   20,   32,   64,    5,100.00% Frontal_Inf_Oper_R,100.00% Unknown,100.00% Right_Precentral_Gyrus
   52,   60,  -65,   28,   55,    5,100.00% no_label,100.00% Unknown,100.00% Right_Lateral_Occipital_Cortex_superior_division
   53,   46,  -89,    4,   17,    5,100.00% no_label,100.00% Unknown,100.00% Right_Lateral_Occipital_Cortex_inferior_division
   54,  -23,   15,  -32,    2,    5,100.00% Temporal_Pole_Sup_L,60.00% Unknown; 40.00% ctx-lh-temporalpole,100.00% Left_Temporal_Pole
   55,   57,   42,    8,   43,    5,60.00% no_label; 40.00% Frontal_Inf_Tri_R,100.00% Unknown,100.00% Right_Frontal_Pole
   56,   49,   56,    4,   27,    5,100.00% no_label,100.00% Unknown,100.00% Right_Frontal_Pole
   57,   44,   -8,   60,   51,    5,100.00% Precentral_R,60.00% ctx-rh-precentral; 40.00% Right-Cerebral-White-Matter,100.00% Right_Precentral_Gyrus
   58,   44,  -80,   32,   17,    5,100.00% Occipital_Mid_R,100.00% ctx-rh-inferiorparietal,100.00% Right_Lateral_Occipital_Cortex_superior_division
   59,   43,   60,    8,   27,    5,100.00% no_label,100.00% Unknown,100.00% Right_Frontal_Pole
   60,   42,   22,   50,   70,    5,100.00% Frontal_Mid_2_R,80.00% ctx-rh-caudalmiddlefrontal; 20.00% Unknown,100.00% Right_Middle_Frontal_Gyrus
   61,   34,   20,   55,   51,    5,100.00% Frontal_Mid_2_R,60.00% Right-Cerebral-White-Matter; 40.00% ctx-rh-caudalmiddlefrontal,100.00% Right_Middle_Frontal_Gyrus
   62,   67,  -51,   16,   31,    5,100.00% no_label,100.00% Unknown,100.00% Right_Angular_Gyrus
   63,   25,    7,   65,   51,    5,100.00% Frontal_Sup_2_R,60.00% ctx-rh-superiorfrontal; 40.00% Right-Cerebral-White-Matter,100.00% Right_Superior_Frontal_Gyrus
   64,   70,  -31,    4,   31,    5,100.00% Temporal_Sup_R,100.00% Unknown,80.00% Right_Superior_Temporal_Gyrus_posterior_division; 20.00% Right_Middle_Temporal_Gyrus_posterior_division
